,Title,Content,Score
180,"""never seen an airline deteriorate so quickly""","✅ Verified Review |  Flew London Heathrow to Vienna. Wow, who is running this company? In over 30 years of flying I've never seen an airline deteriorate so quickly as British Airways has recently. I can accept that I now have to pay extra if I want to check in a bag, but to sit on a 'full-service' airline for over 2 hours without so much as a complimentary cup of water, really? Did I miss something, have they lowered their prices? No, they just want suckers like me to pay more for something that was (and still is at their prices) included in the fare. BA now offers all food and drinks for purchase but the service was so slow and by the time we'd almost reached our destination there was a bit of an argument with a passenger who'd ordered a hot sandwich, but because the payment machine wasn't working, they took the food back to the galley and left the passenger without. The atmosphere was pretty grim, it's been a few years since I've experienced such a miserable economy flight. That was probably Ryanair but they've really raised their game. British Airways was a great carrier, even a year or so back, but now it's really overpriced rubbish, and they don't make me feel welcome anymore. There are so many other options in Europe.",1/10
181,"""saved £10 for two bunch of flowers""","✅ Verified Review |  London Heathrow to Newark. We had heard a lot about the BA First Class ""wing"" at LHR and after checking in we made our way through it - directly from the check in area. The security and screening area is prompt and you find yourself in the First of the BA 1st Class lounges. If you did not know about the more exclusive ""Concorde"" lounge you would probably plonk yourself down here - as the check in staff did not mention the better lounge. The first one was rammed - end to end and we negotiated our way around the bags and carry on luggage strewn all over the place. The Concorde lounge was half empty and we had breakfast in the dining area. It was okay. The lounge is long, long overdue for a refurbishment. The Boeing 777 was parked at the B terminal and we were shown to our seats by a friendly FA. Champagne was served and for once it was chilled. The cabin looked a little tired and I suspect the plane was one of the first to have New First. We had the new Liberty branded wash bags which was light years ahead of the tacky bags we had last December. No amuse bouche - and no flowers in the WCs. There were nine passengers in First - and with an average spend £3,000 - one way, the total revenue would have been circa £36,000. Well done BA, you saved £10 for two bunch of flowers in the loos and 9 x £5 for the amuse bouche - grand saving of the operating costs a massive £55. Lunch was chosen from the cheap tacky menus (Pizza Express is better quality) - and my eyes popped as I read the lead appetizer, and I quote: ""Loch Fyne Kinglas smoked salmon with Oscietra caviar, Burford egg, shallots, creme fraiche and chive cress."" Oh my goodness - Caviar. My excitement was short lived. I had caviar alright - but just five eggs. (Yes folks 5 eggs, not 5 grams) You had to laugh. The soup was horrible. The salad never arrived. The main cod fillet and cod cheeks was very good in indeed. Wine ok. FAs all fine. We landed ahead of schedule - and whoever landed the plane was a zen master pilot. I did not feel the plane touch the tarmac.",6/10
182,"""told snacks had been withdrawn""","✅ Verified Review |  Bangkok to London Heathrow. Boarding was the usual farce with unintelligible boarding announcements resulting in a free for all. The flight was packed full. The inflight entertainment system didn't work for the entire flight - this is a 13 hour flight and also with time spent on the ground waiting for push back nearly 14 hours. I have noticed that BA don't seem to care about IFE not working on BA0009 and BA0010 as it has been quite usual on this route for some passengers to be complaining but this time it was an aircraft wide problem effecting all passengers. The captain made a number of announcements apologising and asking passengers for patience and explaining that it wasn't the cabin crews fault, they were obviously experiencing passenger dissatisfaction. He explained that the system had overheated - well that calms things! I do not eat the served meals on board due to becoming very unwell on a previous BA0009 flight I never want to experience again, so I was looking forward to eating the snacks which are usually available, however I was told they had been withdrawn - I was not happy but had brought a sandwich from the airport so although felt very hungry. I managed but remembered how well EVA air compare with sandwiches and even pot noodles between meals! The cabin crew were nice but after serving meals stored their trolleys between the two aft toilets next to the rear doors both sides of the aircraft effectively blocking access to all the 4 toilets. Passengers wanting the toilets had quite a struggle to push past them. I have never seen or experienced this on any flight and wondered if this is actually a safety concern. ie blocking doors? I also experienced sinus problems, pain and congestion which is I believe due to the air quality on Boeing 777 airplanes, the air being very dry with little humidity. I do take precautions but it has taken a month to recover from the terrible headaches, sinus pain and congestion. I only experience this after flying on 777's and there are flight crew forums on line discussing 777 air quality problems. The captain was on hand to apologise for disembarking passengers and was clearly annoyed that the plane was not fully serviceable. I complained to BA and also emailed CEO Alex Cruze having been urged to do so by the crew. My email to the CEO was forwarded to customer services, no surprises there. Customer Services who replied quickly, investigated and confirmed that there were time constraints loading food and a full compliment was not loaded hence no snacks. I was advised that the lack of IFE would be investigated by their maintenance team. They would not acknowledge any problem with the air quality but I didn't expect them to. By way of compensation I was given 3000 Avios points which to me is paltry especially as those points have been radically devalued for economy passengers, they are worth a third of what they were a year ago and can only be used where Avios are accepted! Frankly I am disappointed in both the flight and BA's level of compensation, I have tried to stay loyal to our national carrier but currently have no confidence anything will be done to improve the passenger experience on this route. The only way to check is to fly that route again with BA, do I risk it ? Therefore I will be looking at all options in the future including middle eastern airlines with a plane change!",3/10
183,"""crew very polite and helpful""","✅ Verified Review | London LGW to Lima. Booked to fly out in Premium Economy and back in Business overnight. I like BA’s website that allows you split classes like this. In the event got upgraded to Business both ways. No idea why. I am not a frequent flyer. Flights left and arrived on time. (Gatwick’s Sunday morning check in scrum is awful). All BA cabin crew and ground staff very polite and helpful. Food very good outward. Slightly poorer quality of meat on return but that will be the Peru catering supplier. Cabin clean, but plastic partitions and carpets are looking a bit tired. IFE screens are old and small. Plane was G-YMMS, both ways. Hate the BA penny pinching that even when you have paid £1600 they still want another £60 to pick a seat.",9/10
184,"""I am ever increasingly disappointed""","✅ Verified Review |  London to Istanbul. I am ever increasingly disappointed with British Airways, the constant penny pinching is having a material affect not only on the hard product but the staff who seem dispirited. The seats, lounge food, aircraft cleanliness, on board food and beverages all are sub par compared to rival airlines. My most recent flight back I took an aisle seat for a change. The flight was quite full and there are a constant stream of people from the economy cabin coming through the business class cabin to use the toilets. This is really quite irritating especially during meal service. No attempt was made by the crew to stop this or even close the curtain splitting the cabins even after complaints. I find the aircraft consistently dirty and on this flight someone had left chewing gum on the seat as well. I think BA don't care, on the flight from Istanbul, electronic devices are banned, other airlines allow them up to boarding and then arrange for them to be taken off you. British Airways has not even bothered to offer entertainment, or even extra magazines on the flight. They really don't appear to give any care for their passengers even those flying business class.",1/10
185,"""not a good first trip on British Airways""","✅ Verified Review |  The flight from New York JFK to London Heathrow was extremely uncomfortable, although the entertainment was quite good on the TVs, the food was horrible, plasticy tasting, and above all not tasty. The flight from Heathrow back to JFK had many delays, although this was out of anyone's control, it was very inconvenient and there was a terribly long wait to board the new plane (5 hours). At first we were told that we would be brought to a new plane as soon as possible, but almost an hour later here were many other delays and disappointments that we were notified about. The other passangers and myself should not have to wait for hours to get on a new plane. I wish the discomfort of the plane, bad food, and time of delays were reduced dramatically. So far, not a good first trip on British Airways.",1/10
186,"""turning BA into a low-cost carrier""","✅ Verified Review |  I am just sad to have to write this review. I changed from Lufthansa to British Airways more then 10 years ago, because it beening a premium airline that was superior in any way. Mostly flying between Berlin, the US and in recent years very frequently Cape Town. BA had more modern planes, innovative products like a great (rather new) First Class, lie-flat seats in Business Class, a new premium economy and a very good economy with good seats and legroom. Flying from Cape Town to Berlin in January to keep my Silver Status made me realise, that none of my initial reasons to choose BA still exists, with the exception of the great cabin staff, that I feel really sorry for. The owners hired Álex Cruz last year, a very experienced low-cost airline executive and he is doing the best he can: Turning BA into a low-cost carrier. Unfortunately. The result is a pity. No more service on short haul flights, reduced service, only paid snacks on long-haul, worn 747's to Cape Town and the grimm outlook to be traveling in cramped in 777's with and extra seat squeezed in from next year onwards. British Airways as a premium airline is lost. Realistically for year to come. Even with my status renewed, I don't think I will fly them again if I don't have to. Meanwhile I understand, that companies sometimes unterstand and correct their mistakes. I do hope BA will do so in the hopefully not to distant future - and keep their great staff on ground and on board.",1/10
187,"""does not value their customers""","✅ Verified Review |  Amsterdam to Cape Town via Gatwick. On our 13 hour night flight I discovered that my seat was broken and could not recline. Spent 13 hours sitting upright while everyone around me was in a reclined position. Complained to crew but as they were unable to solve the problem they advised me to issue a complaint when I returned home to Amsterdam. This is exactly what I did. BA replied that it was unfortunate that i had a bad ecperience and offered me a GBP25 gift voucher as it woud be unfair to other passengers if they gave me more. What an insult! Its unfair that I paid the same price as the rest of the passengers, that's unfair. They do not want to communicatie with me anymore regarding this matter. Very arrogant and not customer friendly at all. I feel cheated. British Airways obviously does not value their customers. A GBP25voucher woud be adequate for a short trip during the day, but for a long overnight flight, its an insult. Sent 2 e-mails but they have decided they dont want to communicate anymore.",4/10
188,"""how much of a budget are they on now?""","✅ Verified Review |  Heathrow Terminal 5 is a great airport, dedicated to British Airways, the check-in service was not as fast as they say, it was normal. The BA staff on the ground were cheerful and happy to help. I was very excited to fly on the new Dreamliner from London Heathrow to Dubai, but my dreams were crushed within my first few steps onboard. First the IFE felt very old and not clear at all, something you'd expect on non-refurbished B777's. Choice of movies and TV Shows are pretty good so I can't fault BA on that. The seats are nice, the head rest is excellent and leg room is okay. Cabin Crew are lazy and just do not want to serve us, I was waiting more than 7 minutes for someone to come to my bright light hovering above my head. The food is okay (Your first meal) its hot and options were good, two meats and nothing more you could ask for on a plane. However and this is a big however, your second meal we were given a Breakfast Bar, that was disgraceful! How much of a budget are they on now? I thought maybe something happened to the food so they gave us Breakfast bars instead, but on the return journey we were given a cookie for Lunch, people were laughing and looking at their cookies in disgrace. I just can't believe how downhill BA has gone. It's incredible how the airline now charges for shorthaul flights too, I think they're running out of money. Unfortunately I booked my flights to Marrakech before this expereince, and I promise that would be the last time I fly with BA.",3/10
189,"""Air Canada next time""","✅ Verified Review |  Montreal to London Heathrow. Flight and service was cheap, except for the price. I expected better and this was not value for money. Advance seat selection is expensive, just plain gouging on top of ticket price. It is complimentary on Air Canada. Even with boarding pass pre-arranged, there is no Bag drop in Montreal, just one long line, British Airways BA staff. Air Canada next time.",1/10
190,"""experience was a bit shoddy""","❎ Unverified |  Flew Gatwick to San Jose, Costa Rica return with BA at a very good price of £1200 return for both of us. The flight out was a typically cramped Atlantic crossing, and my wife and I were separated and unable to sit together. The cabin crew were professional and there were lots of complimentary drink runs. The food was average at best, and lots of options ran out during the flight. On the way back the plane left 90 minutes late, the crossing was quicker at 9 hours, some time was made up, and cabin crew were very good. My main issue was that the plane did not seem to have been prepared very well. There was nothing at all in my seat pocket, not great when you are referred to safety material that should have been there, and wasn't. The catering was really disgusting though. I was served a vegetable lasagne which consisted of a suet like stodge surrounded by some runny soup. Truly horrible, and the worst long haul catering I have ever been served. I thought that the whole experience was a bit shoddy and average, such a shame that the Middle East carriers are so much better in virtually every way. Sad and disappointing.",5/10
191,"""how the mighty have fallen""","❎ Unverified |  Oh dear: cost-cutting on British Airways has led to them becoming an embarrassment. Flew Kuwait to Edinburgh via London. Aircraft are still comfortable, timekeeping is good, and information from the flight deck is always forthcoming. However, most of the cabin crew were ""mature"", and the food and drink offering is now minimal. Breakfast from Kuwait was eggs mixed with vegetables (no, not the omelette we used to have) plus mushrooms and potatoes both prepared as a mushy sort of tortilla: both looked like something you would spoon out of a tin for a baby. ""Lunch"" was a mars bar or similar. I did not bother with the ""buy on board"" stuff on the flight to Edinburgh - I get a better choice in the terminal when I get off the aircraft. The domestic flight back from Edinburgh to Heathrow had the most appallingly childish cabin crew I have ever seen on BA, giggling at each other during the safety demonstration - very unprofessional. The evening meal out of London back to Kuwait was more like a snack, with a smallish steak, three snap peas, three baby carrots (I counted the things), and another babyfood potato thing. ""Breakfast"" was a muesli bar. Sorry guys: a comment on this board that BA equals ""Budget Airline"" just about sums it all up. I have other choices from the Gulf back home, and next time I will be thinking about taking one of them: the only attraction with BA is the extra legroom in Premium Economy, the choice of entertainment, and the direct flight to Heathrow rather than having to fly down the Gulf and return. Otherwise, the epitaph ""how the mighty have fallen"" springs to mind.",7/10
192,"""experience was wonderful""","✅ Verified Review |  London Heathrow to Chicago O'Hare and my experience was wonderful. There were a few problems checking in at Terminal 5 (there was an issue with some of the luggage belts at check-in running slow - never mind these things happen). We were given information about what was happening and staff were doing their best. Fast-track security was fast. Made my way to the lounge in South Terminal which was busy but I was able to find a quiet spot. Lots of food and drinks on offer but I stuck to water as I knew would be eating on the plane. Had to go to a gate in B terminal - this was my first time at Terminal 5 so asked how to get to the gate, very easy instructions given and transportation via the transit train. Boarding was easy although I didn't use the priority boarding service (my bad missing the announcement). I paid extra so I could pre-book my seat (63J) on the upper deck and really glad I did. Our cabin crew were wonderful, so attentive and polite and nothing seemed any bother for them. The food was good for airplane food and the pink champagne was very nice! I managed to get a couple of hours sleep which is very unusual for me. There's lots of room and the upper deck is limited to a maximum of 20 passengers so it feels very private. The window seats have lots of storage but unless you are in 62 or 64 A/K you have to climb over your neighbour's foot stool/legs to get in and out of your seat. 63J is an aisle seat so less private but lots of room as it's by an exit door (ideal for anybody over 6ft). There is a long not too high drawer to place items (I put a pair of knee-length leather boots in there without any issue and there was room for more) and there's the overhead lockers. I couldn't fault my trip out and I am hoping my return trip is just as enjoyable.",10/10
193,"""comfortable economy seat""","✅ Verified Review |  Gatwick to Cape Town. This journey was a very pleasant surprise. I didn't expect great service and was not disappointed. I didn't expect great food or wine and was not disappointed. I didn't expect a comfortable economy seat and was pleasantly surprised. This was an older 777 with a 3-3-3 configuration (31"" seat pitch) in economy and comfortable seats. I flew to South Africa this time last year with Virgin on their new B787 and it was a nightmare. The comfort of seat on a long haul is far more important to me that anything else and this was a far more pleasant experience than I had expected.",8/10
194,"""food had no taste whatsoever""","✅ Verified Review | Bangkok to London with British Airways. I'm a frequent flyer. For a change, we decided to fly BA to London from Thailand for our 12 hour journey. When we were seated, we realized that the seat cushion was coming away. Underneath there were lots of litter. We then realized that we can't watch movies etc due to fact that there was no sound. I informed the cabin crew and they said that they will report to relevant people etc. Our other complaint was the food - it had no taste whatsoever and was served with plastic cutlery which broke few times. In short I would not recommend flying with BA.",1/10
195,"""equal to Ryanair and EasyJet""","✅ Verified Review |  Leeds Bradford to Heathrow. Service is equal to Ryanair and EasyJet. I've been flying with BA regularly for last 4 years and I can't get my head around what is going on. Complimentary drinks replaced with a Buy on Board menu and the flight is so short not all passengers even get served now!  Really just appalling. There is no competition on the LBA route, but I certainly won't pay anything extra to travel with BA from now on if there are alternatives available - Ryanair it is at around a fifth of the price usually!",3/10
196,"""exceed my expectation""","✅ Verified Review |  London Heathrow to Berlin Tegel. A good flight. Food is good for a short-haul flight in business class, but I note that there is no longer free snack and drink in Economy. Now they sell M&S stuff. But the question is whether it is worth the while flying business short-haul. I did only because it is one of my long haul segments. I expect nothing and it turn out to exceed my expectation.",8/10
197,"""Travel Nightmare""","✅ Verified Review |  Flew from Los Angeles to Nice via London Heathrow. 2 words: Travel Nightmare. Every leg of my British Airways flight was delayed including one which was delayed due to a ""paperwork issue that would take 10 minutes"". 2 hours later we took off. Late inbound flights caused me to miss my connection which British Airways charged me exorbitant fees and wait in a 4 hour line to rebook. Inflight entertainment audio system did not work properly, which was not resolved and offered no compensation as a result. By far the worst travel my wife or I have ever experienced, we will be avoiding this airline for life.",1/10
198,"""a par with low cost standards""","✅ Verified Review |  Madrid to London. Fairly chaotic check in, largely down to the Iberia staff. Boarding was quick and friendly welcome from cabin crew. Seats are cramped and on a par with low cost standards, cabin was reasonably clean. Flight crew gave good information. Inflight the crew started the new food and drink sales, and this was where the chaos started. The time they were taking for each row they served was excruciating. I was seated 9 rows back and gave up waiting for a drink and dozed off. Before landing I spoke to my neighbour and asked if they finally got served ... they said the sandwiches had all run out long before staff got them. This was not a cheap fare that I got, and British Airways state publicly that their customers asked for this new service, buy onboard etc. What a lie, I have yet to meet anyone who has been asked what they wanted in the many months before BA stopped any complimentary service. Sad to see our national airline has slipped well below the likes of Lufthansa and Air France.",2/10
199,"""worst customer service""","✅ Verified Review |  London to Phoenix with British Airways in Premium economy. Possibly the worst customer service and flight attendants ever, both outward and inward flight. The plane was dirty, old and smelly. The cabin crew were rude, unhelpful with their customer service who simply ignore your complaints. British Airways should stand for budget airline.",1/10
200,"""reduced to that of a budget airline""","✅ Verified Review |  St Petersburgh to London. I don’t know where BA got this market research to say stop complementary meals, we prefer to pay for it ! I’ve yet to find anyone who agrees with this idea and certainly no one asked me for my opinion. If you want to buy something different, you always have the option in the endless airport shops before boarding. I suggest they look seriously at their market research company if this is true, though I suspect the real reason is cost cutting, BA just doesn’t want to admit it. BA would be better off to admit it, customers would have more sympathy than trying to promote this policy as some benefit to the customer when clearly they are removing benefit and keeping price the same, we can all see through the attempted deception and it does the image no good. To tell me that charging £1.80 for water or soft drink is a bargain when I can buy the same thing in Tesco for 63p insults my intelligence, they are exploiting the fact that passengers cannot carry liquids through security so they have a captive market, again a great image to promote to the world. Where possible myself and family will now actively seek to avoid being a BA passenger where any alternative exists. Pay extra for checked luggage, Pay extra for drinks, pay extra for food, I’m sorry to see our flag carrier in such a state that it is reduced to that of a budget airline.",2/10
201,"""we don't deserve the shoddy treatment""","✅ Verified Review |  
This latest British Airways trip from London Heathrow to Dallas Fort Worth just confirms how standards are slipping. Background: family living in USA = regular leisure transatlantic flyer, in the last 10 years consistently booking for 2-3 travellers on each trip, regularly flying Business for eastbound transatlantic leg. To date transatlantic travel (over 30 years) has been exclusively with British Airways. Service has been almost consistently good or very good. We may not be Gold or Silver members, but we don't deserve the shoddy treatment this most recent booking received. 1) Original booking for outbound LHR-DFW leg was booked by BA agent over the phone in the wrong category/class, even though it was made clear we wished to purchase an upgrade (cash or airmiles) at a later date. Subsequent phone calls over the next few months were a farce, with consistently inconsistent responses - when we eventually managed to get through. The Executive Club customer service link just sends you round in circles! A formal emailed complaint through ""Contact us"" resulted in ""we're sorry to hear you've had problems"" - but no solution offered. Teeth gritted and traveled. 2) 9.5 hour flight LHR-DFW departing 1030. Refreshments/drinks served 1130ish before lunch. 9year old daughter hungry, no nibbles. When asked, steward responded ""well, that's cutbacks for you"". Pre-ordered child's meal arrived 1230, before standard adult meals. No problem. Juice and water were available during the afternoon. No snacks available for children for 5 hours! ""Cutbacks"". Luckily I had a packet of shortbread (as a gift for friends in USA). At 1830 cabin service (tea) started. When I asked for daughter's pre-ordered child's meal, conversation with stewardess went thus - ""Why didn't you order one?"" ""I did!"" ""She didn't have a child's meal at lunch"" ""Yes, she did!"" ""Oh well, I'll check when I've finished serving the main cabin"" Really? We were only in the 3rd or 4th row - would it have been too much effort to check then? Clearly yes it would. And when she did check some 20 minutes later, there was no child's meal - so they cobbled together a few bits from an unused child's lunch, very ungraciously. No hint of an apology. Customer service? Customer satisfaction? Result: continued loyalty for transatlantic flights? What do you think?",3/10
202,"""1 hour in the horrific queue""","✅ Verified Review |  Manchester to Las Vegas via Manchester. I went to the trouble of checking in online, printing boarding pass etc and expecting to just drop my bag at the airport, to be told that is not allowed! I was told I had no option but to queue up with everybody else checking in. After 1 hour in the horrific queue, I am told there is ""no space for a bag drop at Manchester T3"". The agent said this with 4 empty check-in desks next to her. British Airways disgust me with this hoop-jumping checking in online which only serves the airline and left me in agony on my feet. Thank you for the complimentary micro-bag of crisps on the delayed LHR-MAN leg! If I never see BA/AA ever again it'll be too soon.",1/10
203,"""pay more for another airline""","✅ Verified Review |  Cancun to London Gatwick with British Airways. The worst breakfast I've ever had. I was looking forward to my first flight with British Airways thinking that they were a leading airline. In my view they are nothing special. I was looking forward to a nice breakfast before landing back at Gatwick from Mexico. We were given a cheese roll, yoghurt and a cereal bar. I couldn't eat the cheese roll as it was so bland, ate the yoghurt and saved the cereal bar for my 2 hour drive home. Okay, I got a good price and flew economy but that's exactly what I got - a flight that seemed to focus on economy. I would be happy from now on to pay more for another airline.",5/10
204,"""the staff were on the ball""","✅ Verified Review |  This was a much better flight than our outward LHR-BKK with British Airways. The staff were on the ball, worked hard and always around. A nice plane, good IFE with wide modern screen. Seats were fine although storage lacking compared to A380. Food still a letdown . Chicken served in kebabs but far too sweet and soggy. White wine good red poor. Breakfast scrambled eggs and steak! Spoilt by having a greasy liquid in the bottom of tray rendering pretty well inedible. I got a decent sleep.",7/10
205,"""seats are so narrow""","✅ Verified Review |  Flew from Heathrow to Buenos Aires. I haven't flown British Airways for around 10 years, and with work I usually fly either middle-eastern or Asian airlines, what a contrast! I doubt BA have changed anything in that aircraft in the 10 years since I last flew. The TV screen is just 6in low resolution with a very small number of ok films available, nothing of interest with the music either. Food was quite tasty but small portion, no side salad. Drinks (other than water) were only offered at meal times. Seats are so narrow - I paid extra for the emergency seat ($85!) after reading how narrow the seats were, a wise decision, but I shouldn't be paying extra as all middle-east and Asian airlines I have flown have bigger seats, better food choice, better entertainment - how can they offer such a poor service?",2/10
206,"""quite enjoyable flights both ways""","✅ Verified Review |  IAD-LHR return in World Traveller Plus. Quite enjoyable flights both ways with first-rate leg-room (38in in WTP vs 31in in regular WT remains a strong positive point with me), some of the best airline cuisine I've had in recent years, an excellent pre-meal drinks service including Tribute Cornish ale, on-time departure/arrival and the attentive, courteous cabin-crew service I've received through the years from British Airways. (Two tiny flyspecks though - no more newspapers on boarding and no nibbles with the drinks service, but nowhere nearly enough to ruin the overall trip.) This remains my favourite way of flying between the USA and Europe. I am a regular Skytrax reader and note the numerous negative reviews BA's regular tourist-class service has latterly received in this forum (haven't flown it myself in a couple of years though), but on this and other recent showings BA's World Traveller Plus premium economy remains as good as ever.",10/10
207,"""paid to book 2 seats, both broken""","London Heathrow to Cape Town with British Airways. Paid extra to book 2 particular seats. Both were broken. I had to sit upright for 11+hours and my husband had to sit partially reclined to eat his meals. I had veggie meal which was served half hour before everyone else - no drink until everyone else served. Choice of meal for husband was chicken curry or chicken curry. He doesn't like curry so it was whispered to him that he could have a veggie meal. Same at breakfast - served half hour early so had to eat alone. When other breakfasts came out, guess what no meat. On complaining to BA Customer Services, told could choose another meal if we had gone on line and paid extra. Been offered the insulting and derisory compensation of £20 off our next flight (as if there will be a next flight) - not even offered a refund of payment we made for booking broken seat. Both airline and customer service disgraceful.",1/10
208,"""the service was merely adequate""","What a disappointing experience flying British Airways from London Gatwick to Mauritius. Flew club class and the service was merely adequate, they did what they had to do and no more - at no point we were made to feel valued customers. A request for a cup of tea after dinner, resulted in no tea brought (it was allegedly given to another passenger), when we had fruit as a dessert, it was given with no plate, bread at breakfast was also given without a plate - had to be put directly onto the tray. On the flight out the new film releases advertised in the onboard flight magazine, weren't available to view. Given that we paid a lot of money for these tickets, the service given was very poor and the flight attendants not overly friendly. BA now seems to be a budget airline with regard to service and amenities but premium in price. Flew Emirates last year to Mauritius and there is no comparison. Emirates wins hands down. BA needs to get its act together as it will loose customers.",3/10
209,"""service varies each time""",✅ Verified Review | Marrakesh to London Gatwick with British Airways. I fly BA very frequently and the service varies each time. The lounge at Marrakesh is a joke with only a few seats and very limited choice of drinks - 2 miniature bottles of wine between approx 20 passengers. However the flight itself was good with nice meal and champagne. The cabin service manager was great going around offering drinks frequently for a 3 hour flight this was brilliant. The flightdeck kept us updated during the flight. My only other issue would be my baggage was marked with priority but was one of the last to come off.,7/10
210,"""staff were friendly""","London Heathrow to Kiev with British Airways. Good flight, cabin clean, seats small and uncomfortable but it was economy so you pay your money and takes your chance. Food was served and was tasty. Staff were friendly. Captain informative about a go around event we experienced. Separate lounge in Kiev airport.",8/10
211,"""low-cost airline standard""","✅ Verified Review |  Sofia to London Heathrow, and the flight was on time. However cabin interior is awful, seats are cramped and uncomfortable. On board service quality has declined on BA flights and this flight was not exception. Offered food was only a sandwich (compared to hot meal recently) - it's a joke. Economy Class complimentary service will end soon. Cabin crew was just OK, but I’m giving 2 stars because they can’t be much greater than the level of services provided. Our luggage was delayed 45 mins at Heathrow Terminal 5. BA now offering low-cost airline standard - the only difference is price, it's more expensive which makes poor value for money. I'm still using BA regularly and I can see the obvious downgrade in standards during the last 2-3 years and even more dramatic decline in 2016. Shame on British Airways for sliding down to so cheap and so poor image!",1/10
212,"""special when the service is ok""","✅ Verified Review | Lisbon to London with British Airways. Nice flight. Fast boarding, full flight but left Lisbon on time and got to London with no delays. Food on flight was nice for such a cheap flight. Not like my return trip but British Airways makes us feel special when the service is ok.",9/10
213,"""getting worse and worse""","✅ Verified Review |  Athens to London Heathrow in economy Class. The food for a 4 hour flight is only a sandwich for lunch. 1 drink service instead of 2 in the old days so you better order everything you need for the whole flight. British Airways service keeps on getting worse and worse. It's a shame because the crew are actually generally friendly and nice people. I will only fly getting worse and worse if they are cheaper than all the competition, which they almost never are.",4/10
214,"""well worth the money""","London Gatwick to Valencia with British Airways. Boarding the flight at Gatwick was good, professional and orderly. Ground staff at the airport were lovely and check in was efficent. Onboard we got out of the gate and under way quickly. Seats were fine, plenty of leg room back in economy, although they seemed to be a little dirty when I sat down but I thought nothing more of it. During the flight the cabin crew were professional doing their duties. All friendly and welcoming. Food wise we only got complementary biscuits - a little bit of a let down - but on a short flight like this totally understandable. Drinks were fine, got the normal selection: Coke, coffee, juices etc. On the return flight it was slightly different. They seemed to have less in stock not only in the food department but also the inflight shop. Disappointed in this as what I wanted to buy wasnt avaliable.But on this return flight the positives outweigh the negatives. Flight crew again amazing. All kind and welcoming like the first flight. Overall the flights were nice. Well worth the money. Definitely would fly with them again on short haul flights through europe.",9/10
215,"""pleasantly surprised by the experience""","✅ Verified Review |  I was pleasantly surprised by the experience, first time for premium economy with this particular airline. The seat was comfortable with ample legroom, the food was excellent for airline food and both ground staff and flight crew were friendly and efficient. The flight was quiet and smooth, on time and made up time on the flight. The only downside was that the inflight entertainment stopped working after one hour, despite the crews efforts it could not be restored for the remainder of the flight. We did note one steward enter the premium economy cabin with a list and upgraded about 15 people into business, the rest of us went without for 8 hours. It worked fine on the return journey and I guess it's just one of those things, just annoyed me that a certain selected few were upgraded and the rest ignored.",9/10
216,"""great welcome and service""","London Heathrow to Las Vegas. Outbound great welcome and service. Homebound friends reported same great service from female attendant on their side of cabin. Unfortunately, my wife and I were looked after young male attendant whose manner was rather officious and for whom everything seemed to be too much trouble. Detracted only somewhat from overall very enjoyable BA booked Vegas trip - think maybe the guy is in the wrong career. Boeing 747s OK but a bit tatty all round. I hope they're near retirement.",8/10
217,"""not travel with them again""","Flew with British Airways for the first time from Sydney to London return. Very unsatisfactory compared to premium economy experiences with other airlines. Had to pay to preselect seats and not only was there no priority boarding, the World Traveller Plus customers in fact were the last to board. There were only 6 rows of premier economy, yet was told that the meal choice has ran out. The meal took me back to air travel in the 1970s. The starter consisted of 6 tasteless pasta spiral and 1 cherry tomato. The fish was dry and tasteless and the rice an unappetising grey colour. The dessert was a square of plain cheesecake. Hot beverages at breakfast were served in thin paper cups. There was no other service, no offer of water or snacks between the meals. Toiletry consisted of hand wash and nothing else. The toilets were not cleaned and replenished during the stop over in Singapore. The seat was comfortable enough but has only a foot rest rather than the leg rest of other airlines. BA World Traveller Plus is certainly not value for money and I will not travel with them again.",2/10
218,"""not customer focussed in any way whatsoever""","✅ Verified Review |  Flew Malaga to Gatwick. Although a better flight than two weeks ago the 'service' of a small packet of crisps, peanuts or biscuit is a disgrace. At least with other airlines you can purchase food. Passengers were hungry and cabin staff were clearly embarrassed with the megre offering. For our national carrier to go to this low base and makes a mockery of 'To fly-to serve'. We will choose any other airline over British Airways in future - human cargo are clearly an inconvenience for the BA management (although the cabin staff did their very best). No doubt BA management can't wait to get their hands on more of our money when they start to supply food at a charge. Truly shocking values and not customer focussed in any way whatsoever.",1/10
219,"""crew were extremely nice""",✅ Verified Review |  Flew London Heathrow to Lisbon with British Airways. The plane was slightly delayed but the captain explained why and we recovered the delay on the way. I believe communication to be important and appreciate the gesture. The crew were extremely nice and the snack we were given was just fine for such a short flight. I am only sorry we had to take a bus in Lisbon to get to the terminal.,9/10
